Review,Point
"Cháo ếch đậm đà, cơm thì không đặc sắc mấy. 
Chủ quán nhẹ nhàng, phục vụ nhanh.",7.4
"Quán này mình cũng hay order lắm. Menu quán cũng đa dạng món từ cháo ếch tới cơm á. Vị trí trung tâm cũng thuận lợi, mà mình ít tới quán ăn. Chủ yếu order qua now cho tiện. Bữa trc nhác nấu cơm nên lên now đặt q phần cơm chiên dương châu, giá 25k. Hôp cơm cũng nhiều á, ăn no quá trời. K chỉ có cơm mà còn có 1 cái trứng chiên ốp lá nữa. Cơm ăn cũng được, mà hơi khô 1 tí, phần topping cũng k có nhiều đâu. Ăn hôp này khá no luôn á 
Giao hàng nhanh",7.8
"Cháo thịt bò 30k
------
Đang mệt người vì thời tiết đà nẵng nóng lạnh thất thường quá nên mình lên now order cháo thịt bò bằm về ăn cho tiện. 
cháo này giá 30k/1 tô, tô cháo đổ ra khá nhiều ngon, cháo nhuyễn, thịt băm nhỏ nên ăn ít cảm nhận được vị thịt lắm, có cà rốt nữa, cháo quán nêm nếm vừa miệng, mình ăn thấy ngon 
quán này khá chu đáo đem về bỏ hộp nhựa, muỗng đũa đầy đủ
quán này***thì làm nhanh lắm nên shipper giao hàng cực nhanh luôn
vị trí trung tâm khá thuận lợi, dễ tìm đó",8.0
"Shinshu đã chuyển qua nguỹen hoàng, vị trí cũng khá trung tâm, đi ngang qua thấy không gian sạch sẽ
hôm nay mệt người nên lên now order cháo thịt bò băm về ăn. trời ơi, quán làm món siêu siêu nhanh đó, order tầm 5' là có rồi, k thể tin được mà, mấy hồi đặt cháo ếch thì quán làm hơi lâu đó
cháo nhiều, nhuyễn, ăn khá vừa miệng, thịt bò ngon, cháp ship tới còn nóng hổi 
phần này giá 30k, đăt qua now nhập code thì free ship và còn giảm được 5k nữa nè, khoẻ re ha",8.0
"Chất lượng : Menu đa dạng , nhiều lựa chọn , từ hương vị cháo đến hương vị ếch . Cháo trắng , nấu nhừ nhưng không bị nát . Ếch đựng trong thố nhìn đẹp , ngon miệng , thấm gia vị , độ mặn vừa phải .
Không gian : Quán thoáng , bàn ghế đơn giản nhưng mang phong cách hiện đại , có vẻ giống nước ngoài 😁 . Không gian thấy khá ổn , không bị hầm hay bí .
Giá cả : Bình thường , nhưng không phải giá bình dân , ổn so với chất lượng .",8.2
"Đây là cơ sở cháo Ếch địa chỉ***chuyển về nè. Vào quán nghe mùi thơm nứt mũi thôi là thèm ăn rồi. Đây có lẽ là quán bán cháo ếch nổi nhất tại Đà Nẵng.
Nếu bữa nò chán ơn thèm cháo thì mọi người nên thử, giá thì cao hơn các tô cháo bình thừng một chút nhưng sạch, ngon. 
chị chủ dễ thương nhệt tình lắm, quán rộng rãi tháng, ko bí, có nức nha đam uống thanh nhiệt ngon lắm nè
Nói chung là cứ ăn thử sẽ biết hen. Hương vị singapore nghe",9.4
"Tăng giá mà chất lượng không tăng. Cơm chừng đó thịt mà toàn mỡ gì không, hạt trắng trên thịt là mỡ k phải hạt cơm dính nhé. Nhìn ghê không muốn ăn luôn",1.8
"Mình ăn quán này từ hồi bên***nay quán đã dời qua*** quán này mình hay ăn cháo ếch vì rất ngon, nhất là cháo ếch lá dứa
lâu lâu đổi món, mình ăn cơm ếch cho lạ. hình review mình chụp ăn 2 lần nhé, phần kia là 1 con ếch 50k, còn phần có dĩa ếch riêng là 90k, phần ếch 90k ăn 2 ngừoi là oke đó 
ếch xào thấm, ăn đậm đà, cay the, thịt ếch dai dai,cái này mua vè nhậu cũng ngon đó hihi
quán phục vụ cũng nhanh, không gian sạch sẽ",8.2
"Trời mưa này đặt món cơm ruốc này về ăn ngon khỏi chê. Vừa ngon lại vừa rẻ thì ai không thích cơ chứ. Cảm ơn quán nhé, cơm ruốc rất ngon. Sẽ ủng hộ nhiều😘😘",10
"Cơm thố hải sản, cháo ếch singapore quá ngon, đang đoi bụng gặp ngay quán ngon, món ngon, cơm thố hải sản 50k nhiều mực, tính ra giá cũng rẻ, mấy bạn nhân viên cực nhiệt tình, sẽ giới thiệu vơi bạn bè",9.6
